,date,price,asin,market
265,2015-09-23,0.0,B09GSWML11,us
266,2015-09-24,0.0,B09GSWML11,us
267,2015-09-25,0.0,B09GSWML11,us
268,2015-09-26,0.0,B09GSWML11,us
269,2015-09-27,0.0,B09GSWML11,us
270,2015-09-28,0.0,B09GSWML11,us
271,2015-09-29,0.0,B09GSWML11,us
272,2015-09-30,0.0,B09GSWML11,us
273,2015-10-01,0.0,B09GSWML11,us
274,2015-10-02,0.0,B09GSWML11,us
275,2015-10-03,0.0,B09GSWML11,us
276,2015-10-04,0.0,B09GSWML11,us
277,2015-10-05,0.0,B09GSWML11,us
278,2015-10-06,0.0,B09GSWML11,us
279,2015-10-07,0.0,B09GSWML11,us
280,2015-10-08,0.0,B09GSWML11,us
281,2015-10-09,0.0,B09GSWML11,us
282,2015-10-10,0.0,B09GSWML11,us
283,2015-10-11,0.0,B09GSWML11,us
284,2015-10-12,0.0,B09GSWML11,us
285,2015-10-13,0.0,B09GSWML11,us
286,2015-10-14,0.0,B09GSWML11,us
287,2015-10-15,0.0,B09GSWML11,us
288,2015-10-16,0.0,B09GSWML11,us
289,2015-10-17,0.0,B09GSWML11,us
290,2015-10-18,0.0,B09GSWML11,us
291,2015-10-19,0.0,B09GSWML11,us
292,2015-10-20,0.0,B09GSWML11,us
293,2015-10-21,0.0,B09GSWML11,us
294,2015-10-22,0.0,B09GSWML11,us
295,2015-10-23,0.0,B09GSWML11,us
296,2015-10-24,0.0,B09GSWML11,us
297,2015-10-25,0.0,B09GSWML11,us
298,2015-10-26,0.0,B09GSWML11,us
299,2015-10-27,0.0,B09GSWML11,us
300,2015-10-28,0.0,B09GSWML11,us
301,2015-10-29,0.0,B09GSWML11,us
302,2015-10-30,0.0,B09GSWML11,us
303,2015-10-31,0.0,B09GSWML11,us
304,2015-11-01,0.0,B09GSWML11,us
305,2015-11-02,0.0,B09GSWML11,us
306,2015-11-03,0.0,B09GSWML11,us
307,2015-11-04,0.0,B09GSWML11,us
308,2015-11-05,0.0,B09GSWML11,us
309,2015-11-06,0.0,B09GSWML11,us
310,2015-11-07,0.0,B09GSWML11,us
311,2015-11-08,0.0,B09GSWML11,us
312,2015-11-09,0.0,B09GSWML11,us
313,2015-11-10,0.0,B09GSWML11,us
314,2015-11-11,0.0,B09GSWML11,us
315,2015-11-12,0.0,B09GSWML11,us
316,2015-11-13,0.0,B09GSWML11,us
317,2015-11-14,0.0,B09GSWML11,us
318,2015-11-15,0.0,B09GSWML11,us
319,2015-11-16,0.0,B09GSWML11,us
320,2015-11-17,0.0,B09GSWML11,us
321,2015-11-18,0.0,B09GSWML11,us
322,2015-11-19,0.0,B09GSWML11,us
323,2015-11-20,0.0,B09GSWML11,us
324,2015-11-21,0.0,B09GSWML11,us
325,2015-11-22,0.0,B09GSWML11,us
326,2015-11-23,0.0,B09GSWML11,us
327,2015-11-24,0.0,B09GSWML11,us
328,2015-11-25,0.0,B09GSWML11,us
329,2015-11-26,0.0,B09GSWML11,us
330,2015-11-27,0.0,B09GSWML11,us
331,2015-11-28,0.0,B09GSWML11,us
332,2015-11-29,0.0,B09GSWML11,us
333,2015-11-30,0.0,B09GSWML11,us
334,2015-12-01,0.0,B09GSWML11,us
335,2015-12-02,0.0,B09GSWML11,us
336,2015-12-03,0.0,B09GSWML11,us
337,2015-12-04,0.0,B09GSWML11,us
338,2015-12-05,0.0,B09GSWML11,us
339,2015-12-06,0.0,B09GSWML11,us
340,2015-12-07,0.0,B09GSWML11,us
341,2015-12-08,0.0,B09GSWML11,us
342,2015-12-09,0.0,B09GSWML11,us
343,2015-12-10,0.0,B09GSWML11,us
344,2015-12-11,0.0,B09GSWML11,us
345,2015-12-12,0.0,B09GSWML11,us
346,2015-12-13,0.0,B09GSWML11,us
347,2015-12-14,0.0,B09GSWML11,us
348,2015-12-15,0.0,B09GSWML11,us
349,2015-12-16,0.0,B09GSWML11,us
350,2015-12-17,0.0,B09GSWML11,us
351,2015-12-18,0.0,B09GSWML11,us
352,2015-12-19,0.0,B09GSWML11,us
353,2015-12-20,0.0,B09GSWML11,us
354,2015-12-21,0.0,B09GSWML11,us
355,2015-12-22,0.0,B09GSWML11,us
356,2015-12-23,0.0,B09GSWML11,us
357,2015-12-24,0.0,B09GSWML11,us
358,2015-12-25,0.0,B09GSWML11,us
359,2015-12-26,0.0,B09GSWML11,us
360,2015-12-27,0.0,B09GSWML11,us
361,2015-12-28,0.0,B09GSWML11,us
362,2015-12-29,0.0,B09GSWML11,us
363,2015-12-30,0.0,B09GSWML11,us
364,2015-12-31,0.0,B09GSWML11,us
365,2016-01-01,0.0,B09GSWML11,us
366,2016-01-02,0.0,B09GSWML11,us
367,2016-01-03,0.0,B09GSWML11,us
368,2016-01-04,0.0,B09GSWML11,us
369,2016-01-05,0.0,B09GSWML11,us
370,2016-01-06,0.0,B09GSWML11,us
371,2016-01-07,0.0,B09GSWML11,us
372,2016-01-08,0.0,B09GSWML11,us
373,2016-01-09,0.0,B09GSWML11,us
374,2016-01-10,0.0,B09GSWML11,us
375,2016-01-11,0.0,B09GSWML11,us
376,2016-01-12,0.0,B09GSWML11,us
377,2016-01-13,0.0,B09GSWML11,us
378,2016-01-14,0.0,B09GSWML11,us
379,2016-01-15,0.0,B09GSWML11,us
380,2016-01-16,0.0,B09GSWML11,us
381,2016-01-17,0.0,B09GSWML11,us
382,2016-01-18,0.0,B09GSWML11,us
383,2016-01-19,0.0,B09GSWML11,us
384,2016-01-20,0.0,B09GSWML11,us
385,2016-01-21,0.0,B09GSWML11,us
386,2016-01-22,0.0,B09GSWML11,us
387,2016-01-23,0.0,B09GSWML11,us
388,2016-01-24,0.0,B09GSWML11,us
389,2016-01-25,0.0,B09GSWML11,us
390,2016-01-26,0.0,B09GSWML11,us
391,2016-01-27,0.0,B09GSWML11,us
392,2016-01-28,0.0,B09GSWML11,us
393,2016-01-29,0.0,B09GSWML11,us
394,2016-01-30,0.0,B09GSWML11,us
395,2016-01-31,0.0,B09GSWML11,us
396,2016-02-01,0.0,B09GSWML11,us
397,2016-02-02,0.0,B09GSWML11,us
398,2016-02-03,0.0,B09GSWML11,us
399,2016-02-04,0.0,B09GSWML11,us
400,2016-02-05,0.0,B09GSWML11,us
401,2016-02-06,0.0,B09GSWML11,us
402,2016-02-07,0.0,B09GSWML11,us
403,2016-02-08,0.0,B09GSWML11,us
404,2016-02-09,0.0,B09GSWML11,us
405,2016-02-10,0.0,B09GSWML11,us
406,2016-02-11,0.0,B09GSWML11,us
407,2016-02-12,0.0,B09GSWML11,us
408,2016-02-13,0.0,B09GSWML11,us
409,2016-02-14,0.0,B09GSWML11,us
410,2016-02-15,0.0,B09GSWML11,us
411,2016-02-16,0.0,B09GSWML11,us
412,2016-02-17,0.0,B09GSWML11,us
413,2016-02-18,0.0,B09GSWML11,us
414,2016-02-19,0.0,B09GSWML11,us
415,2016-02-20,0.0,B09GSWML11,us
416,2016-02-21,0.0,B09GSWML11,us
417,2016-02-22,0.0,B09GSWML11,us
418,2016-02-23,0.0,B09GSWML11,us
419,2016-02-24,0.0,B09GSWML11,us
420,2016-02-25,0.0,B09GSWML11,us
421,2016-02-26,0.0,B09GSWML11,us
422,2016-02-27,0.0,B09GSWML11,us
423,2016-02-28,0.0,B09GSWML11,us
424,2016-02-29,0.0,B09GSWML11,us
425,2016-03-01,0.0,B09GSWML11,us
426,2016-03-02,0.0,B09GSWML11,us
427,2016-03-03,0.0,B09GSWML11,us
428,2016-03-04,0.0,B09GSWML11,us
429,2016-03-05,0.0,B09GSWML11,us
430,2016-03-06,0.0,B09GSWML11,us
431,2016-03-07,0.0,B09GSWML11,us
432,2016-03-08,0.0,B09GSWML11,us
433,2016-03-09,0.0,B09GSWML11,us
434,2016-03-10,0.0,B09GSWML11,us
435,2016-03-11,0.0,B09GSWML11,us
436,2016-03-12,0.0,B09GSWML11,us
437,2016-03-13,0.0,B09GSWML11,us
438,2016-03-14,0.0,B09GSWML11,us
439,2016-03-15,0.0,B09GSWML11,us
440,2016-03-16,0.0,B09GSWML11,us
441,2016-03-17,0.0,B09GSWML11,us
442,2016-03-18,0.0,B09GSWML11,us
443,2016-03-19,0.0,B09GSWML11,us
444,2016-03-20,0.0,B09GSWML11,us
445,2016-03-21,0.0,B09GSWML11,us
446,2016-03-22,0.0,B09GSWML11,us
447,2016-03-23,0.0,B09GSWML11,us
448,2016-03-24,0.0,B09GSWML11,us
449,2016-03-25,0.0,B09GSWML11,us
450,2016-03-26,0.0,B09GSWML11,us
451,2016-03-27,0.0,B09GSWML11,us
452,2016-03-28,0.0,B09GSWML11,us
453,2016-03-29,0.0,B09GSWML11,us
454,2016-03-30,0.0,B09GSWML11,us
455,2016-03-31,0.0,B09GSWML11,us
456,2016-04-01,0.0,B09GSWML11,us
457,2016-04-02,0.0,B09GSWML11,us
458,2016-04-03,0.0,B09GSWML11,us
459,2016-04-04,0.0,B09GSWML11,us
460,2016-04-05,0.0,B09GSWML11,us
461,2016-04-06,0.0,B09GSWML11,us
462,2016-04-07,0.0,B09GSWML11,us
463,2016-04-08,0.0,B09GSWML11,us
464,2016-04-09,0.0,B09GSWML11,us
465,2016-04-10,0.0,B09GSWML11,us
466,2016-04-11,0.0,B09GSWML11,us
467,2016-04-12,0.0,B09GSWML11,us
468,2016-04-13,0.0,B09GSWML11,us
469,2016-04-14,0.0,B09GSWML11,us
470,2016-04-15,0.0,B09GSWML11,us
471,2016-04-16,0.0,B09GSWML11,us
472,2016-04-17,0.0,B09GSWML11,us
473,2016-04-18,0.0,B09GSWML11,us
474,2016-04-19,0.0,B09GSWML11,us
475,2016-04-20,0.0,B09GSWML11,us
476,2016-04-21,0.0,B09GSWML11,us
477,2016-04-22,0.0,B09GSWML11,us
478,2016-04-23,0.0,B09GSWML11,us
479,2016-04-24,0.0,B09GSWML11,us
480,2016-04-25,0.0,B09GSWML11,us
481,2016-04-26,0.0,B09GSWML11,us
482,2016-04-27,0.0,B09GSWML11,us
483,2016-04-28,0.0,B09GSWML11,us
484,2016-04-29,0.0,B09GSWML11,us
485,2016-04-30,0.0,B09GSWML11,us
486,2016-05-01,0.0,B09GSWML11,us
487,2016-05-02,0.0,B09GSWML11,us
488,2016-05-03,0.0,B09GSWML11,us
489,2016-05-04,0.0,B09GSWML11,us
490,2016-05-05,0.0,B09GSWML11,us
491,2016-05-06,0.0,B09GSWML11,us
492,2016-05-07,0.0,B09GSWML11,us
493,2016-05-08,0.0,B09GSWML11,us
494,2016-05-09,0.0,B09GSWML11,us
495,2016-05-10,0.0,B09GSWML11,us
496,2016-05-11,0.0,B09GSWML11,us
497,2016-05-12,0.0,B09GSWML11,us
498,2016-05-13,0.0,B09GSWML11,us
499,2016-05-14,0.0,B09GSWML11,us
500,2016-05-15,0.0,B09GSWML11,us
501,2016-05-16,0.0,B09GSWML11,us
502,2016-05-17,0.0,B09GSWML11,us
503,2016-05-18,0.0,B09GSWML11,us
504,2016-05-19,0.0,B09GSWML11,us
505,2016-05-20,0.0,B09GSWML11,us
506,2016-05-21,0.0,B09GSWML11,us
507,2016-05-22,0.0,B09GSWML11,us
508,2016-05-23,0.0,B09GSWML11,us
509,2016-05-24,0.0,B09GSWML11,us
510,2016-05-25,0.0,B09GSWML11,us
511,2016-05-26,0.0,B09GSWML11,us
512,2016-05-27,0.0,B09GSWML11,us
513,2016-05-28,0.0,B09GSWML11,us
514,2016-05-29,0.0,B09GSWML11,us
515,2016-05-30,0.0,B09GSWML11,us
516,2016-05-31,0.0,B09GSWML11,us
517,2016-06-01,0.0,B09GSWML11,us
518,2016-06-02,0.0,B09GSWML11,us
519,2016-06-03,0.0,B09GSWML11,us
520,2016-06-04,0.0,B09GSWML11,us
521,2016-06-05,0.0,B09GSWML11,us
522,2016-06-06,0.0,B09GSWML11,us
523,2016-06-07,0.0,B09GSWML11,us
524,2016-06-08,0.0,B09GSWML11,us
525,2016-06-09,0.0,B09GSWML11,us
526,2016-06-10,0.0,B09GSWML11,us
527,2016-06-11,0.0,B09GSWML11,us
528,2016-06-12,0.0,B09GSWML11,us
529,2016-06-13,0.0,B09GSWML11,us
530,2016-06-14,0.0,B09GSWML11,us
531,2016-06-15,0.0,B09GSWML11,us
532,2016-06-16,0.0,B09GSWML11,us
533,2016-06-17,0.0,B09GSWML11,us
534,2016-06-18,0.0,B09GSWML11,us
535,2016-06-19,0.0,B09GSWML11,us
536,2016-06-20,0.0,B09GSWML11,us
537,2016-06-21,0.0,B09GSWML11,us
538,2016-06-22,0.0,B09GSWML11,us
539,2016-06-23,0.0,B09GSWML11,us
540,2016-06-24,0.0,B09GSWML11,us
541,2016-06-25,0.0,B09GSWML11,us
542,2016-06-26,0.0,B09GSWML11,us
543,2016-06-27,0.0,B09GSWML11,us
544,2016-06-28,0.0,B09GSWML11,us
545,2016-06-29,0.0,B09GSWML11,us
546,2016-06-30,0.0,B09GSWML11,us
547,2016-07-01,0.0,B09GSWML11,us
548,2016-07-02,0.0,B09GSWML11,us
549,2016-07-03,0.0,B09GSWML11,us
550,2016-07-04,0.0,B09GSWML11,us
551,2016-07-05,0.0,B09GSWML11,us
552,2016-07-06,0.0,B09GSWML11,us
553,2016-07-07,0.0,B09GSWML11,us
554,2016-07-08,0.0,B09GSWML11,us
555,2016-07-09,0.0,B09GSWML11,us
556,2016-07-10,0.0,B09GSWML11,us
557,2016-07-11,0.0,B09GSWML11,us
558,2016-07-12,0.0,B09GSWML11,us
559,2016-07-13,0.0,B09GSWML11,us
560,2016-07-14,0.0,B09GSWML11,us
561,2016-07-15,0.0,B09GSWML11,us
562,2016-07-16,0.0,B09GSWML11,us
563,2016-07-17,0.0,B09GSWML11,us
564,2016-07-18,0.0,B09GSWML11,us
565,2016-07-19,0.0,B09GSWML11,us
566,2016-07-20,0.0,B09GSWML11,us
567,2016-07-21,0.0,B09GSWML11,us
568,2016-07-22,0.0,B09GSWML11,us
569,2016-07-23,0.0,B09GSWML11,us
570,2016-07-24,0.0,B09GSWML11,us
571,2016-07-25,0.0,B09GSWML11,us
572,2016-07-26,0.0,B09GSWML11,us
573,2016-07-27,0.0,B09GSWML11,us
574,2016-07-28,0.0,B09GSWML11,us
575,2016-07-29,0.0,B09GSWML11,us
576,2016-07-30,0.0,B09GSWML11,us
577,2016-07-31,0.0,B09GSWML11,us
578,2016-08-01,0.0,B09GSWML11,us
579,2016-08-02,0.0,B09GSWML11,us
580,2016-08-03,0.0,B09GSWML11,us
581,2016-08-04,0.0,B09GSWML11,us
582,2016-08-05,0.0,B09GSWML11,us
583,2016-08-06,0.0,B09GSWML11,us
584,2016-08-07,0.0,B09GSWML11,us
585,2016-08-08,0.0,B09GSWML11,us
586,2016-08-09,0.0,B09GSWML11,us
587,2016-08-10,0.0,B09GSWML11,us
588,2016-08-11,0.0,B09GSWML11,us
589,2016-08-12,0.0,B09GSWML11,us
590,2016-08-13,0.0,B09GSWML11,us
591,2016-08-14,0.0,B09GSWML11,us
592,2016-08-15,0.0,B09GSWML11,us
593,2016-08-16,0.0,B09GSWML11,us
594,2016-08-17,0.0,B09GSWML11,us
595,2016-08-18,0.0,B09GSWML11,us
596,2016-08-19,0.0,B09GSWML11,us
597,2016-08-20,0.0,B09GSWML11,us
598,2016-08-21,0.0,B09GSWML11,us
599,2016-08-22,0.0,B09GSWML11,us
600,2016-08-23,0.0,B09GSWML11,us
601,2016-08-24,0.0,B09GSWML11,us
602,2016-08-25,0.0,B09GSWML11,us
603,2016-08-26,0.0,B09GSWML11,us
604,2016-08-27,0.0,B09GSWML11,us
605,2016-08-28,0.0,B09GSWML11,us
